"id","resource_id","rule_id"
1,vol-0467a9dc3638c8e61,ebs-detect-unencrypted-volume
2,vol-0e181efd2ccb65947,ebs-detect-unencrypted-volume
3,vol-0d589e5ded91a1aa2,ebs-detect-unencrypted-volume
4,vol-0f1c53f6796a5fd3a,ebs-detect-unencrypted-volume
5,brightsolid-website-infra-dev-ft-initial-dev-webroot,s3-detect-unauthorised-public-bucket
6,bs-website-scaling-test-webroot,s3-detect-unauthorised-public-bucket
7,bs-website-test-blue-webroot,s3-detect-unauthorised-public-bucket
8,bsol-contract-web-hosting-test,s3-detect-unauthorised-public-bucket
9,bsol-dev-tf-remotestate,s3-detect-unauthorised-public-bucket
10,custodian-console-dev-serverlessdeploymentbucket-t1pcg5tyd3i,s3-detect-unauthorised-public-bucket
11,website-devtest-webroot-backup,s3-detect-unauthorised-public-bucket
12,website-devtest-assets-backup,s3-detect-unauthorised-public-bucket
13,i-006d83e00aabe31d2,ec2-detect-unauthorised-public-instance
14,billptemp,s3-detect-unencrypted-bucket
15,brightsolid,s3-detect-unencrypted-bucket
16,bs-quorum-dropbox,s3-detect-unencrypted-bucket
17,bsol-contract-web-hosting-test,s3-detect-unencrypted-bucket
18,bsol-dev-bakery-assets,s3-detect-unencrypted-bucket
19,bsol-dev-subnet-flowlogs,s3-detect-unencrypted-bucket
20,bsol-exception-test-no-customer-code2,s3-detect-unencrypted-bucket
21,bsol-test-no-customer-code2,s3-detect-unencrypted-bucket
22,dctdatarecovery,s3-detect-unencrypted-bucket
23,imustdestdeletions,s3-detect-unencrypted-bucket
